Time, ms;X axis speed, mm/s;Y axis speed, mm/s;Rotational speed, deg/s;Motor 1 encoder, ticks;Motor 2 encoder, ticks;Motor 3 encoder, ticks;Motor 1 velocity, rpm;Motor 2 velocity, rpm;Motor 3 velocity, rpm;Motor 1 current, A;Motor 2 current, A;Motor 3 current, A;Sum motor current, A;Current X, A;Current Y, A;Current Z, A;X gyro;Y gyro;Z gyro;X accel;Y accel;Z accel;X coordinate, pixels;Y coodinate, pixels;Angle, deg;Delta angle, deg;Delta X, mm;Delta Y, mm
537.922;300;0;0;-11945;-10;11855;-918;0;918;0.769231;0.025641;0.487179;1.28205;0.724949;-0.111026;-0.0853846;-1.01417;1.72083;0.0533332;0.154053;0.00874837;-0.101949;936;293;88.3865;-0.852046;63;0
1036.77;300;0;0;-26935;-109;26798;-918;-81;945;0.794872;0.666667;0.564103;2.02564;0.784128;0.367821;-0.298846;1.9575;0.5;-1.8225;0.119975;0.266724;-0.132284;866.5;291.5;88.3865;0.0451306;97;2
1505.85;300;0;0;-41899;-130;41682;-918;0;891;0.384615;0.025641;0.641026;1.05128;0.591795;0.0682821;0.0939231;-0.637501;-3.59083;-1.425;-0.0362345;0.0675659;0.000142395;802.5;290.5;88.3634;-0.829648;97;5
2013.73;300;0;0;-57368;-182;57066;-918;0;999;0.282051;0.0769231;1.02564;1.38462;0.754538;0.196308;0.273231;-2.80143;0.679286;-0.689286;0.104946;-0.0483573;-0.0500488;729;289.5;88.3865;-0.828939;123;4
2504.98;300;0;0;-72274;-139;71916;-918;0;972;0.769231;0;0.333333;1.10256;0.63618;-0.145154;-0.145154;-2.11;2.10571;-1.7;0.023856;-0.137521;0.131731;666;287;87.5805;-0.0335652;104;3
3042.43;300;0;0;-88159;-105;87797;-972;27;918;0.717949;0;0.538462;1.25641;0.724949;-0.0597692;-0.0597692;-2.71733;-1.884;-1.97667;-0.00906575;0.0316244;-0.0226563;606.5;285;87.6141;-0.805013;98;-1
3504.11;0;300;0;-86478;-11344;97323;486;-1053;567;0.512821;0.846154;0.358974;1.71795;-0.0887692;0.854692;0.00853847;-0.614617;2.13154;-3.35077;0.0261418;-0.116417;0.114371;583.5;317;87.6141;0.0906573;30;55
4022.89;0;300;0;-77168;-30018;106516;513;-1107;540;0.384615;0.74359;0.435897;1.5641;0.0295897;0.769205;0.0256154;-17.0114;0.665;-0.296429;-0.0482178;-0.308454;0.21174;581.5;391;87.5805;-0.0782577;-1;115
4527.88;0;300;0;-68345;-47646;115139;594;-1107;513;0.410256;0.820513;0.692308;1.92308;0.162744;0.914436;0.0939231;5.47;-3.59;-3.33143;0.00495256;0.107317;-0.0433176;585.5;442.5;84.3693;-0.164655;-11;74
5008.92;0;300;0;-60166;-64102;123248;486;-1026;486;0.333333;1.05128;0.564103;1.94872;0.133154;1.00005;-0.0512308;0.315333;3.25467;-5.05333;0.0701986;0.0753092;-0.11683;581;496.5;82.7757;-1.68469;0;103
5518.5;0;300;0;-51400;-81641;131798;594;-1134;513;0.512821;1.02564;0.615385;2.15385;0.0591795;1.05979;0.0341538;-0.927999;-0.907333;-5.60067;0.0273926;-0.046224;0.079004;577;555.5;81.0694;-5.21107;-5;101
6010.28;0;300;0;-43050;-98463;140093;540;-1053;513;0.666667;0.923077;0.461538;2.05128;-0.118359;0.991385;0.0683077;-3.78714;2.33357;-10.7736;-0.0893903;0.0454973;-0.0404751;566;600;76.1593;-3.46204;0;77
6541.24;-300;0;0;-29483;-103600;131630;810;27;-810;1;0;1.12821;2.12821;-1.22797;-0.0426923;-0.0426923;-11.3229;1.53929;-6.50571;0.0388009;-0.201643;0.0627093;578;619;73.6105;-4.11528;-21;23
7017.64;-300;0;0;-15646;-103597;117808;891;0;-891;0.871795;0.025641;0.948718;1.84615;-1.05044;-0.0427179;-0.0170769;1.31692;0.794615;-8.98615;-0.00144608;0.117018;-0.00219727;612.5;623;69.2539;-2.84077;-49;-9
7518.36;-300;0;0;-1310;-103588;103511;891;27;-891;1.12821;0.025641;0.74359;1.89744;-1.08003;0.110974;0.136615;-7.58733;-0.538;-12.25;0.016862;-0.327865;0.167904;651.5;626.5;64.1556;-8.76932;-62;-16
8004.76;-300;0;0;13078;-103596;89128;837;0;-891;0.820513;0;0.794872;1.61538;-0.932077;0.00853846;0.00853846;-1.68846;0.1;1.89462;0.00332408;-0.0586501;0.0446027;686.5;643.5;64.8852;1.51544;-62;-1
8525.11;-300;0;0;28687;-103623;73650;945;0;-864;0.871795;0.0512821;1.05128;1.97436;-1.10962;-0.0939744;-0.0426923;-4.96;-2.7;-5.35;-0.0497001;-0.0140207;0.00701028;741;662;63.4349;-0.00674385;-84;-7
9014.5;-300;0;0;43566;-103582;58807;891;0;-945;0.769231;0;0.923077;1.69231;-0.976462;-0.0512308;-0.0512308;5.84615;-3.51615;1.54308;0.130747;0.235464;-0.193585;777.5;683;64.8852;1.09257;-60;3
9535.08;0;-300;0;40478;-90778;49148;-513;1053;-513;0.615385;0.974359;0.384615;1.97436;0.133154;-0.982897;-0.00853847;-0.284284;-2.90357;-6.30714;0.0586112;0.0568325;-0.0711147;793;666;60.1541;-2.13681;-15;-30
10008.2;0;-300;0;32134;-74089;40827;-486;1026;-513;0.717949;1.17949;0.461538;2.35897;0.147949;-1.17949;9.92417e-09;-8.24077;1.24;-13.8869;0.0571289;-0.176138;0.178204;802.5;637.5;54.9406;-6.37082;5;-46
